id,source_files,source_lines,owner,claim_type,subtype,claim_text,expected_value,doc_says,code_says,vps_says,status,suggested_fix,notes
c-0001,deploy/vm/README.md,14,owned,concrete,os_version,Recommended baseline OS is Ubuntu 24.04 LTS,Ubuntu 24.04 LTS,"
## Recommended baseline

- Ubuntu 24.04 LTS
- 4-8 vCPU",,,MATCH,,
c-0002,deploy/vm/README.md,15,owned,concrete,vcpu,Recommended baseline is 4-8 vCPU,4-8,"## Recommended baseline

- Ubuntu 24.04 LTS
- 4-8 vCPU
- 12-32 GB RAM",,,MATCH,,
c-0003,deploy/vm/README.md,16,owned,concrete,ram,Recommended baseline is 12-32 GB RAM,12-32 GB,"
- Ubuntu 24.04 LTS
- 4-8 vCPU
- 12-32 GB RAM
- 100+ GB disk",,,MATCH,,
c-0004,deploy/vm/README.md,17,owned,concrete,disk,Recommended baseline is 100+ GB disk,100+ GB,"- Ubuntu 24.04 LTS
- 4-8 vCPU
- 12-32 GB RAM
- 100+ GB disk
- SSH enabled",,,MATCH,,
c-0005,deploy/vm/README.md,19,owned,concrete,package,open-vm-tools should be installed if running under VMware,open-vm-tools,"- 12-32 GB RAM
- 100+ GB disk
- SSH enabled
- `open-vm-tools` installed if running under VMware
- networking can be NAT if it is stable and SSH is reachable from the host",,,MATCH,,
c-0006,deploy/vm/README.md,46,owned,concrete,command,Bootstrap flow uses 'cp .env.example .env' from repo root,cp .env.example .env,,,,UNVERIFIABLE,,
c-0007,deploy/vm/README.md,48,owned,concrete,path,Env projection script lives at stack/prototype-local/scripts/project_root_env.py,stack/prototype-local/scripts/project_root_env.py,,,,UNVERIFIABLE,,
c-0008,deploy/vm/README.md,48,owned,concrete,command_flag,project_root_env.py supports --force flag,--force,,"""--force"",
        raise SystemExit(f""refusing to overwrite existing env file: {output_path} (use --force)"")",,MATCH,,
c-0009,deploy/vm/README.md,53,owned,behavioral,env_projection,project_root_env.py projects root .env into stack/prototype-local/.env,writes stack/prototype-local/.env from root .env,,"2:""""""Project the canonical repo-root .env contract into stack/prototype-local/.env.""""""
73:        description=""Project repo-root .env values into stack/prototype-local/.env"",",,UNVERIFIABLE,,
c-0010,deploy/vm/README.md,55,owned,concrete,path,Stack-local env file is stack/prototype-local/.env,stack/prototype-local/.env,,,,UNVERIFIABLE,,
c-0011,deploy/vm/README.md,59,owned,behavioral,env_contract,Root .env is the operator control file,root .env is operator control file,"
Current reality:

- the root `.env` is the operator control file
- the stack-local `.env` is still the file consumed by Docker Compose",,,UNVERIFIABLE,,
c-0012,deploy/vm/README.md,60,owned,behavioral,env_consumer,stack-local .env is consumed by Docker Compose,stack/prototype-local/.env consumed by docker compose,,stack/prototype-local/docker-compose.substrate.yml,,UNVERIFIABLE,,
c-0013,docs/architecture/canonical/bootstrap-module.md,25,owned,concrete,path,Implementation script exists at stack/prototype-local/scripts/prepare_paperclip_hermes_home.py,stack/prototype-local/scripts/prepare_paperclip_hermes_home.py,,path exists: stack/prototype-local/scripts/prepare_paperclip_hermes_home.py,,MATCH,,
c-0014,docs/architecture/canonical/bootstrap-module.md,26,owned,concrete,path,Implementation script exists at stack/prototype-local/scripts/bootstrap_paperclip_hermes_company.py,stack/prototype-local/scripts/bootstrap_paperclip_hermes_company.py,,path exists: stack/prototype-local/scripts/bootstrap_paperclip_hermes_company.py,,MATCH,,
c-0015,docs/architecture/canonical/bootstrap-module.md,27,owned,concrete,path,Template exists at stack/prototype-local/templates/paperclip-hermes-one-agent.json,stack/prototype-local/templates/paperclip-hermes-one-agent.json,,path exists: stack/prototype-local/templates/paperclip-hermes-one-agent.json,,MATCH,,
c-0016,docs/architecture/canonical/bootstrap-module.md,28,owned,concrete,path,Template exists at stack/prototype-local/templates/paperclip-hermes-manager-worker.json,stack/prototype-local/templates/paperclip-hermes-manager-worker.json,,path exists: stack/prototype-local/templates/paperclip-hermes-manager-worker.json,,MATCH,,
c-0017,docs/architecture/canonical/bootstrap-module.md,32,owned,concrete,topology_value,Supported topology value: one-agent,one-agent,,,,UNVERIFIABLE,,
c-0018,docs/architecture/canonical/bootstrap-module.md,33,owned,concrete,topology_value,Supported topology value: manager-worker,manager-worker,,,,UNVERIFIABLE,,
c-0019,docs/architecture/canonical/bootstrap-module.md,37,owned,behavioral,shared_state,Manager and worker agents share the same company-scoped HERMES_HOME,manager and worker share company-scoped HERMES_HOME,,,,UNVERIFIABLE,,
c-0020,docs/architecture/canonical/bootstrap-module.md,64,owned,concrete,path_template,Company-scoped Hermes home is created at /paperclip/instances/<instance-id>/companies/<company-id>/hermes-home,/paperclip/instances/<instance-id>/companies/<company-id>/hermes-home,,,,UNVERIFIABLE,,
c-0021,docs/architecture/canonical/bootstrap-module.md,66,owned,concrete,env_var,Agent runtime config sets adapterConfig.env.HERMES_HOME,adapterConfig.env.HERMES_HOME,,"./docs/audits/2026-05-01-three-way/claims.curated.yaml:249:  claim_text: Agent runtime config sets adapterConfig.env.HERMES_HOME
./docs/audits/2026-05-01-three-way/claims.curated.yaml:250:  expected_value: adapterConfig.env.HERMES_HOME
./docs/audits/2026-05-01-three-way/claims.curated.yaml:21849:  c",adapterConfig.env.HERMES_HOME not present in any env file,MATCH,,
c-0022,docs/architecture/canonical/bootstrap-module.md,67,owned,behavioral,conditional_render,honcho.json is rendered as agent-aware when an agent ID is available,agent-aware honcho.json when agent ID present,,,,UNVERIFIABLE,,
c-0023,docs/architecture/canonical/bootstrap-module.md,77,owned,behavioral,idempotency,Module guarantees exact-name company reuse or explicit failure on duplicate company names,reuse-by-exact-name or fail on duplicate,,,,UNVERIFIABLE,,
c-0024,docs/architecture/canonical/bootstrap-module.md,79,owned,behavioral,workspace_mapping,Honcho workspace is set to the Paperclip companyId,Honcho workspace == Paperclip companyId,,,,UNVERIFIABLE,,
c-0025,docs/architecture/canonical/bootstrap-module.md,80,owned,concrete,peer_naming,Honcho AI peer is set to paperclip-agent-<agent-id> after agent creation in one-agent path,paperclip-agent-<agent-id>,,,,UNVERIFIABLE,,
c-0026,docs/architecture/canonical/bootstrap-module.md,105,owned,behavioral,dependency,Active path depends on a healthy Paperclip service,Paperclip service must be healthy,,,,UNVERIFIABLE,,
c-0027,docs/architecture/canonical/bootstrap-module.md,106,owned,behavioral,dependency,Paperclip image must contain a working hermes CLI,hermes CLI present in Paperclip image,,/home/mdc159/.local/bin/hermes,,UNVERIFIABLE,,
c-0028,docs/architecture/canonical/bootstrap-module.md,110,owned,behavioral,dependency,Self-hosted Honcho must be available on loopback when Honcho memory is expected,Honcho on loopback,,,,UNVERIFIABLE,,
